"lang"
{
  "Language"    "English"
    "DOTA_Tooltip_ability_item_fire_two_bow_Note0"            "Buy <font color='#dddddd'>2</font> to collapse to one slot and activate the bonus."
    "DOTA_Tooltip_ability_item_fire_two_bow_fire_rate"          "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_fire_two_bow_dmg"            "DAMAGE:"
    "DOTA_Tooltip_ability_item_fire_two_bow_range"            "RANGE:"
    "DOTA_Tooltip_ability_item_fire_two_bow_dps"            "\n<font  size= '3' color='#cc6400'>DPS:</font>"  

    
    "DOTA_Tooltip_ability_item_fire_two_bow_doubled"          "Double Roman Candles"
    "DOTA_Tooltip_ability_item_fire_two_bow_doubled_Description"    "<h1>Weapon: Fire Level 2</h1><b>Doubles Bonus <font color='#007700'>Active</font></b><br>Deals %damage% damage every %fire_rate% seconds to all ships in range."
    "DOTA_Tooltip_ability_item_fire_two_bow_doubled_Note0"        "Fire damage over time does not stack."
    "DOTA_Tooltip_ability_item_fire_two_bow_doubled_fire_rate"      "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_fire_two_bow_doubled_dmg"        "DAMAGE (x2):"
    "DOTA_Tooltip_ability_item_fire_two_bow_doubled_range"        "RANGE:"
    "DOTA_Tooltip_ability_item_fire_two_bow_doubled_dps"        "\n<font  size= '3' color='#cc6400'>DPS:</font>"  

    
    "DOTA_Tooltip_ability_item_fire_three_bow"              "Molotov Cocktails"
    "DOTA_Tooltip_ability_item_fire_three_bow_Description"            "<h1>Weapon: Fire Level 3</h1><b>Doubles Bonus <font color='#770000'>Inactive</font></b><br>Deals %damage% damage every %fire_rate% seconds to all ships in range."
    "DOTA_Tooltip_ability_item_fire_three_bow_Note0"          "Buy <font color='#dddddd'>2</font> to collapse to one slot and activate the bonus."
    "DOTA_Tooltip_ability_item_fire_three_bow_fire_rate"        "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_fire_three_bow_dmg"            "DAMAGE:"
    "DOTA_Tooltip_ability_item_fire_three_bow_range"          "RANGE:"
    "DOTA_Tooltip_ability_item_fire_three_bow_dps"            "\n<font  size= '3' color='#cc6400'>DPS:</font>"  


    "DOTA_Tooltip_ability_item_fire_three_bow_doubled"                  "Double Molotov Cocktails"
    "DOTA_Tooltip_ability_item_fire_three_bow_doubled_Description"    "<h1>Weapon: Fire Level 3</h1><b>Doubles Bonus <font color='#007700'>Active</font></b><br>Deals %damage% damage every %fire_rate% seconds to all ships in range."
    "DOTA_Tooltip_ability_item_fire_three_bow_doubled_Note0"      "Fire damage over time does not stack."
    "DOTA_Tooltip_ability_item_fire_three_bow_doubled_fire_rate"    "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_fire_three_bow_doubled_dmg"        "DAMAGE (x2):"
    "DOTA_Tooltip_ability_item_fire_three_bow_doubled_range"      "RANGE:"
    "DOTA_Tooltip_ability_item_fire_three_bow_doubled_dps"        "\n<font  size= '3' color='#cc6400'>DPS:</font>"  

    
    "DOTA_Tooltip_ability_item_fire_ult_bow"              "Flamethrower"
    "DOTA_Tooltip_ability_item_fire_ult_bow_Description"            "<h1>Weapon: Ultimate Fire</h1>Deals %damage% damage every %fire_rate% seconds to all ships in range."
    "DOTA_Tooltip_ability_item_fire_ult_bow_Note0"            "Fire damage over time does not stack."
    "DOTA_Tooltip_ability_item_fire_ult_bow_fire_rate"          "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_fire_ult_bow_dmg"            "DAMAGE/4:"
    "DOTA_Tooltip_ability_item_fire_ult_bow_RADIUS"           "RANGE:"
    "DOTA_Tooltip_ability_item_fire_ult_bow_dps"            "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    "DOTA_Tooltip_ability_item_fire_ult_bow_Lore"           "Ah, ah, ah, ah, burnin' alive!"
    
    "DOTA_Tooltip_ability_item_fire_ult_bow_rec"            "Flamethrower"
    "DOTA_Tooltip_ability_item_fire_ult_bow_rec_Description"      "<h1>Weapon: Ultimate Fire</h1>Deals %damage% damage every %fire_rate% seconds to all ships in range."
    "DOTA_Tooltip_ability_item_fire_ult_bow_rec_Note0"          "Fire damage over time does not stack."
    "DOTA_Tooltip_ability_item_fire_ult_bow_rec_fire_rate"        "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_fire_ult_bow_rec_dmg"          "DAMAGE:"
    "DOTA_Tooltip_ability_item_fire_ult_bow_rec_RADIUS"         "RANGE:"
    "DOTA_Tooltip_ability_item_fire_ult_bow_rec_dps"          "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    "DOTA_Tooltip_ability_item_fire_ult_bow_rec_Lore"         "Ah, ah, ah, ah, burnin' alive!"

    

    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    //-0103---IRON---------------------------------
    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    "DOTA_Tooltip_ability_item_spin_bow"                "Trick Shot"
    "DOTA_Tooltip_ability_item_spin_bow_Description"              "<h1>Weapon: Iron Level 1</h1><b>Doubles Bonus <font color='#770000'>Inactive</font></b><br>Riccochets on impact, hitting up to %bounces% nearby enemy unit within %bounce_range% range for %bounce_dmg% damage. \nDoes not hit structures."
    "DOTA_Tooltip_ability_item_spin_bow_Note1"              "Buy <font color='#dddddd'>2</font> to collapse to one slot and activate the bonus."
    "DOTA_Tooltip_ability_item_spin_bow_fire_rate"            "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_spin_bow_dmg"              "DAMAGE:"
    "DOTA_Tooltip_ability_item_spin_bow_range"              "RANGE:"
    "DOTA_Tooltip_ability_item_spin_bow_dps"              "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    
    "DOTA_Tooltip_ability_item_spin_bow_doubled"            "Double Trick Shot"
    "DOTA_Tooltip_ability_item_spin_bow_doubled_Description"      "<h1>Weapon: Iron Level 1</h1><b>Doubles Bonus <font color='#007700'>Active</font></b><br>Riccochets on impact, hitting up to %bounces% nearby enemy unit within %bounce_range% range for %bounce_dmg% damage. \nDoes not hit structures."
    "DOTA_Tooltip_ability_item_spin_bow_doubled_fire_rate"        "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_spin_bow_doubled_dmg"          "DAMAGE (x2):"
    "DOTA_Tooltip_ability_item_spin_bow_doubled_range"          "RANGE:"
    "DOTA_Tooltip_ability_item_spin_bow_doubled_dps"          "\n<font  size= '3' color='#cc6400'>DPS:</font>"  

    
    "DOTA_Tooltip_ability_item_spin_two_bow"              "Split Shot"
    "DOTA_Tooltip_ability_item_spin_two_bow_Description"            "<h1>Weapon: Iron Level 2</h1><b>Doubles Bonus <font color='#770000'>Inactive</font></b><br>Fragments on impact, hitting up to %bounces% nearby enemy unit within %bounce_range% range for %bounce_dmg% damage. \nDoes not hit structures."
    "DOTA_Tooltip_ability_item_spin_two_bow_Note1"            "Buy <font color='#dddddd'>2</font> to collapse to one slot and activate the bonus."
    "DOTA_Tooltip_ability_item_spin_two_bow_fire_rate"          "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_spin_two_bow_dmg"            "DAMAGE:"
    "DOTA_Tooltip_ability_item_spin_two_bow_range"            "RANGE:"
    "DOTA_Tooltip_ability_item_spin_two_bow_dps"            "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    
    "DOTA_Tooltip_ability_item_spin_two_bow_doubled"          "Double Split Shot"
    "DOTA_Tooltip_ability_item_spin_two_bow_doubled_Description"    "<h1>Weapon: Iron Level 2</h1><b>Doubles Bonus <font color='#007700'>Active</font></b><br>Fragments on impact, hitting up to %bounces% nearby enemy unit within %bounce_range% range for %bounce_dmg% damage. \nDoes not hit structures."
    "DOTA_Tooltip_ability_item_spin_two_bow_doubled_fire_rate"      "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_spin_two_bow_doubled_dmg"        "DAMAGE (x2):"
    "DOTA_Tooltip_ability_item_spin_two_bow_doubled_range"        "RANGE:"
    "DOTA_Tooltip_ability_item_spin_two_bow_doubled_dps"        "\n<font  size= '3' color='#cc6400'>DPS:</font>"  

    
    "DOTA_Tooltip_ability_item_spin_three_bow"              "Flak Gun"
    "DOTA_Tooltip_ability_item_spin_three_bow_Description"            "<h1>Weapon: Iron Level 3</h1><b>Doubles Bonus <font color='#770000'>Inactive</font></b><br>Fragments on impact, hitting up to %bounces% nearby enemy unit within %bounce_range% range for %bounce_dmg% damage. \nDoes not hit structures."
    "DOTA_Tooltip_ability_item_spin_three_bow_Note1"          "Buy <font color='#dddddd'>2</font> to collapse to one slot and activate the bonus."
    "DOTA_Tooltip_ability_item_spin_three_bow_fire_rate"        "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_spin_three_bow_dmg"            "DAMAGE:"
    "DOTA_Tooltip_ability_item_spin_three_bow_doubled_range"      "RANGE:"
    "DOTA_Tooltip_ability_item_spin_three_bow_dps"            "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    
    "DOTA_Tooltip_ability_item_spin_three_bow_doubled"          "Double Flak Gun"
    "DOTA_Tooltip_ability_item_spin_three_bow_doubled_Description"    "<h1>Weapon: Iron Level 3</h1><b>Doubles Bonus <font color='#007700'>Active</font></b><br>Fragments on impact, hitting up to %bounces% nearby enemy unit within %bounce_range% range for %bounce_dmg% damage. \nDoes not hit structures."
    "DOTA_Tooltip_ability_item_spin_three_bow_doubled_fire_rate"    "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_spin_three_bow_doubled_dmg"        "DAMAGE (x2):"
    "DOTA_Tooltip_ability_item_spin_three_bow_doubled_range"      "RANGE:"
    "DOTA_Tooltip_ability_item_spin_three_bow_doubled_dps"        "\n<font  size= '3' color='#cc6400'>DPS:</font>"  

    
    "DOTA_Tooltip_ability_item_spin_ult_bow"              "Cluster Shuriken"
    "DOTA_Tooltip_ability_item_spin_ult_bow_Description"            "<h1>Weapon: Ultimate Iron</h1>Fragments on impact, hitting up to %bounces% nearby enemy unit within %bounce_range% range for %bounce_dmg% damage. \nDoes not hit structures."
    "DOTA_Tooltip_ability_item_spin_ult_bow_fire_rate"          "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_spin_ult_bow_dmg"            "DAMAGE/4:"
    "DOTA_Tooltip_ability_item_spin_ult_bow_range"            "RANGE:"
    "DOTA_Tooltip_ability_item_spin_ult_bow_dps"            "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    "DOTA_Tooltip_ability_item_spin_ult_bow_Lore"           "Having shuriken guns doesn't make you a ninja ship, but it does mak you a deadly one."

    "DOTA_Tooltip_ability_item_spin_ult_bow_rec"            "Cluster shuriken"
    "DOTA_Tooltip_ability_item_spin_ult_bow_rec_Description"      "<h1>Weapon: Ultimate Iron</h1>Reduces target's movement speed by 15% for 2 seconds \nDoes not hit structures."
    "DOTA_Tooltip_ability_item_spin_ult_bow_rec_fire_rate"        "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_spin_ult_bow_rec_dmg"          "DAMAGE:"
    "DOTA_Tooltip_ability_item_spin_ult_bow_rec_range"          "RANGE:"
    "DOTA_Tooltip_ability_item_spin_ult_bow_rec_dps"          "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    "DOTA_Tooltip_ability_item_spin_ult_bow_rec_Lore"         "Having shuriken guns doesn't make you a ninja ship, but it does mak you a deadly one."
    

    
    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    //-0104---ICE----------------------------------
    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    "DOTA_Tooltip_ability_item_ice_bow"                 "Snowflakes"
    "DOTA_Tooltip_ability_item_ice_bow_Description"               "<h1>Weapon: Ice Level 1</h1><b>Doubles Bonus <font color='#770000'>Inactive</font></b><br>Reduces target's movement speed by %slow_amt%%% for %slow_dur% second. \nDoes not hit structures."
    "DOTA_Tooltip_ability_item_ice_bow_Note1"             "Buy <font color='#dddddd'>2</font> to collapse to one slot and activate the bonus."
    "DOTA_Tooltip_ability_item_ice_bow_fire_rate"           "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_ice_bow_dmg"               "DAMAGE:"
    "DOTA_Tooltip_ability_item_ice_bow_range"             "RANGE:"
    "DOTA_Tooltip_ability_item_ice_bow_dps"               "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    

    "DOTA_Tooltip_ability_item_ice_bow_doubled"             "Double Snowflakes"
    "DOTA_Tooltip_ability_item_ice_bow_doubled_Description"       "<h1>Weapon: Ice Level 1</h1><b>Doubles Bonus <font color='#007700'>Active</font></b><br>Reduces target's movement speed by %slow_amt%%% for %slow_dur% second. \nDoes not hit structures."
    "DOTA_Tooltip_ability_item_ice_bow_doubled_fire_rate"       "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_ice_bow_doubled_dmg"           "DAMAGE (x2):"
    "DOTA_Tooltip_ability_item_ice_bow_doubled_range"         "RANGE:"
    "DOTA_Tooltip_ability_item_ice_bow_doubled_dps"           "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    

    
    "DOTA_Tooltip_ability_item_ice_two_bow"               "Snowfall"
    "DOTA_Tooltip_ability_item_ice_two_bow_Description"             "<h1>Weapon: Ice Level 2</h1><b>Doubles Bonus <font color='#770000'>Inactive</font></b><br>Reduces target's movement speed by %slow_amt%%% for %slow_dur% seconds. \nDoes not hit structures."
    "DOTA_Tooltip_ability_item_ice_two_bow_Note1"           "Buy <font color='#dddddd'>2</font> to collapse to one slot and activate the bonus."
    "DOTA_Tooltip_ability_item_ice_two_bow_fire_rate"         "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_ice_two_bow_dmg"             "DAMAGE:"
    "DOTA_Tooltip_ability_item_ice_two_bow_range"           "RANGE:"
    "DOTA_Tooltip_ability_item_ice_two_bow_dps"             "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    

    "DOTA_Tooltip_ability_item_ice_two_bow_doubled"           "Snowfall"
    "DOTA_Tooltip_ability_item_ice_two_bow_doubled_Description"     "<h1>Weapon: Ice Level 2</h1><b>Doubles Bonus <font color='#007700'>Active</font></b><br>Reduces target's movement speed by %slow_amt%%% for %slow_dur% seconds. \nDoes not hit structures."
    "DOTA_Tooltip_ability_item_ice_two_bow_doubled_fire_rate"     "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_ice_two_bow_doubled_dmg"         "DAMAGE (x2):"
    "DOTA_Tooltip_ability_item_ice_two_bow_doubled_range"       "RANGE:"
    "DOTA_Tooltip_ability_item_ice_two_bow_doubled_dps"         "\n<font  size= '3' color='#cc6400'>DPS:</font>"  

    "DOTA_Tooltip_ability_item_ice_three_bow"             "Snowstorm"
    "DOTA_Tooltip_ability_item_ice_three_bow_Description"           "<h1>Weapon: Ice Level 3</h1><b>Doubles Bonus <font color='#770000'>Inactive</font></b><br>Reduces target's movement speed by %slow_amt%%% for %slow_dur% seconds. \nDoes not hit structures."
    "DOTA_Tooltip_ability_item_ice_three_bow_Note1"           "Buy <font color='#dddddd'>2</font> to collapse to one slot and activate the bonus."
    "DOTA_Tooltip_ability_item_ice_three_bow_fire_rate"         "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_ice_three_bow_dmg"           "DAMAGE:"
    "DOTA_Tooltip_ability_item_ice_three_bow_range"           "RANGE:"
    "DOTA_Tooltip_ability_item_ice_three_bow_dps"           "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    
    "DOTA_Tooltip_ability_item_ice_three_bow_doubled"         "Double Snowstorm"
    "DOTA_Tooltip_ability_item_ice_three_bow_doubled_Description"   "<h1>Weapon: Iron Level 3</h1><b>Doubles Bonus <font color='#007700'>Active</font></b><br>Reduces target's movement speed by %slow_amt%%% for %slow_dur% seconds. \nDoes not hit structures."
    "DOTA_Tooltip_ability_item_ice_three_bow_doubled_fire_rate"     "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_ice_three_bow_doubled_dmg"       "DAMAGE (x2):"
    "DOTA_Tooltip_ability_item_ice_three_bow_doubled_range"       "RANGE:"
    "DOTA_Tooltip_ability_item_ice_three_bow_doubled_dps"       "\n<font  size= '3' color='#cc6400'>DPS:</font>"  

    
    "DOTA_Tooltip_ability_item_ice_ult_bow"               "Blizzard"
    "DOTA_Tooltip_ability_item_ice_ult_bow_Description"             "<h1>Weapon: Ultimate Ice</h1>Reduces target's movement speed by %slow_amt%%% for %slow_dur% seconds. \nDoes not hit structures."
    "DOTA_Tooltip_ability_item_ice_ult_bow_fire_rate"         "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_ice_ult_bow_dmg"             "DAMAGE/4:"
    "DOTA_Tooltip_ability_item_ice_ult_bow_range"           "RANGE:"
    "DOTA_Tooltip_ability_item_ice_ult_bow_dps"             "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    "DOTA_Tooltip_ability_item_ice_ult_bow_Lore"            "Legends tell of a frozen ghost ship that appears once every 75 years. Its approach is heralded by a blizzard so cold, most crews are alerted by the sound of their lookout shattering on the deck."

    "DOTA_Tooltip_ability_item_ice_ult_bow_rec"             "Blizzard"
    "DOTA_Tooltip_ability_item_ice_ult_bow_rec_Description"       "<h1>Weapon: Ultimate Ice</h1>Reduces target's movement speed by %slow_amt%%% for %slow_dur% seconds. \nDoes not hit structures."
    "DOTA_Tooltip_ability_item_ice_ult_bow_rec_fire_rate"       "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_ice_ult_bow_rec_dmg"           "DAMAGE:"
    "DOTA_Tooltip_ability_item_ice_ult_bow_rec_range"         "RANGE:"
    "DOTA_Tooltip_ability_item_ice_ult_bow_rec_dps"           "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    "DOTA_Tooltip_ability_item_ice_ult_bow_rec_Lore"          "Legends tell of a frozen ghost ship that appears once every 75 years. Its approach is heralded by a blizzard so cold, most crews are alerted by the sound of their lookout shattering on the deck."
    
    

    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    //-0105---MINES--------------------------------
    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    "DOTA_Tooltip_ability_item_breach_bow"                "Hull Breaching Mines"
    "DOTA_Tooltip_ability_item_breach_bow_Description"              "<h1>Weapon: Breach Level 1</h1><b>Doubles Bonus <font color='#770000'>Inactive</font></b><br>%pure_pct%%% of missile damage is converted to <font color='purple'>pure</font> damage. \nDoes not hit structures."
    "DOTA_Tooltip_ability_item_breach_bow_Note1"            "Buy <font color='#dddddd'>2</font> to collapse to one slot and activate the bonus."
    "DOTA_Tooltip_ability_item_breach_bow_fire_rate"          "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_breach_bow_dmg"              "DAMAGE:"
    "DOTA_Tooltip_ability_item_breach_bow_delay"            "Damage Delay:"
    "DOTA_Tooltip_ability_item_breach_bow_range"            "RANGE:"
    "DOTA_Tooltip_ability_item_breach_bow_dps"              "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    
