"addon"
{

	"addon_game_name" 			"Battleships"
		"DOTA_Tooltip_ability_item_poison_three_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_poison_three_bow_dmg"									"Damage:"
		
		"DOTA_Tooltip_ability_item_poison_three_bow_doubled"				"Double Poison III"

		"DOTA_Tooltip_ability_item_poison_three_bow_doubled_Description"		"\n Level 3 Poison Combo \n Range: 900 \n  DPS: 240 \nDoubled: Infects target with a plague dealing an aditional 3 damage every half second for 3 seconds"
		"DOTA_Tooltip_ability_item_poison_three_bow_doubled_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_poison_three_bow_doubled_dmg"									"Damage(x2):"
		
		"DOTA_Tooltip_ability_item_poison_ult_bow"							"plague"

		"DOTA_Tooltip_ability_item_poison_ult_bow_Description"        				" 
\n Ultimate Poison \n Range: 900 \n  DPS: 467 \n Bonus: Infects target with a plague dealing 40 damage per second for 4 seconds. "
		"DOTA_Tooltip_ability_item_poison_ult_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_poison_ult_bow_dmg"									"Damage/4:"
		
		"DOTA_Tooltip_ability_item_poison_ult_bow_rec"						"plague"

		"DOTA_Tooltip_ability_item_poison_ult_bow_rec_Description"					"\n Ultimate Poison \n \n  Range: 900 \n  DPS: 467 \n Bonus: Infects target with a plague dealing 40 damage per second for 4 seconds. "
		"DOTA_Tooltip_ability_item_poison_ult_bow_rec_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_poison_ult_bow_rec_dmg"									"Damage:"
		

		
		
		"DOTA_Tooltip_ability_item_fire_bow"								"Fire I"

		"DOTA_Tooltip_ability_item_fire_bow_Description"        				"Buy 2x to collapse to one slot 
\n Level 1 Fire \n  Range: 700 \n  DPS: 30 \nWhen doubled, burns all ships within weapon range for a constant 5 dps"
		
		"DOTA_Tooltip_ability_item_fire_bow_doubled"						"Double Fire I"

		"DOTA_Tooltip_ability_item_fire_bow_doubled_Description"				"\n Level 1 Fire Combo \n  Range: 700 \n  DPS: 60 \nDoubled: burns all ships within weapon range for a constant 5 dps"
		
		"DOTA_Tooltip_ability_item_fire_two_bow"							"Fire II"

		"DOTA_Tooltip_ability_item_fire_two_bow_Description"        				"Buy 2x to collapse to one slot 
\n Level 2 Fire \n Range: 700 \n  DPS: 65 \nWhen doubled, burns all ships within weapon range for a constant 10 dps"
		
		"DOTA_Tooltip_ability_item_fire_two_bow_doubled"					"Double Fire II"

		"DOTA_Tooltip_ability_item_fire_two_bow_doubled_Description"			"\n Level 2 Fire Combo \n Range: 700 \n  DPS: 130 \nDoubled: burns all ships within weapon range for a constant 10 dps"
		
		"DOTA_Tooltip_ability_item_fire_three_bow"							"Fire III"

		"DOTA_Tooltip_ability_item_fire_three_bow_Description"        				"Buy 2x to collapse to one slot 
\n Level 3 Fire \n Range: 700 \n  DPS: 130 \nWhen doubled, burns all ships within weapon range for a constant 15 dps"
		
		"DOTA_Tooltip_ability_item_fire_three_bow_doubled"                 	"Double Fire III"

		"DOTA_Tooltip_ability_item_fire_three_bow_doubled_Description"			"\n Level 3 Fire Combo \n Range: 700 \n  DPS: 260 \nDoubled: burns all ships within weapon range for a constant 15 dps"
		
		"DOTA_Tooltip_ability_item_fire_ult_bow"							"Flamethrower"

		"DOTA_Tooltip_ability_item_fire_ult_bow_Description"        				" 
\n Ultimate Fire \n Range: 700 \n  DPS: 500 \n Bonus: burns all ships within weapon range for a constant 50 dps" 
		
		"DOTA_Tooltip_ability_item_fire_ult_bow_rec"						"Flamethrower"

		"DOTA_Tooltip_ability_item_fire_ult_bow_rec_Description"				"\n Ultimate Fire \n Range: 700 \n  DPS: 500 \n Bonus: burns all ships within weapon range for a constant 50 dps" 
		
		"DOTA_Tooltip_ability_item_fire_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_fire_bow_dmg"									"Damage:"
		"DOTA_Tooltip_ability_item_fire_bow_doubled_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_fire_bow_doubled_dmg"									"Damage(x2):"
		"DOTA_Tooltip_ability_item_fire_two_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_fire_two_bow_dmg"									"Damage:"
		"DOTA_Tooltip_ability_item_fire_two_bow_doubled_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_fire_two_bow_doubled_dmg"									"Damage(x2):"
		"DOTA_Tooltip_ability_item_fire_three_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_fire_three_bow_dmg"									"Damage:"
		"DOTA_Tooltip_ability_item_fire_three_bow_doubled_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_fire_three_bow_doubled_dmg"									"Damage(x2):"
		"DOTA_Tooltip_ability_item_fire_ult_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_fire_ult_bow_dmg"									"Damage/4:"
		"DOTA_Tooltip_ability_item_fire_ult_bow_rec_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_fire_ult_bow_rec_dmg"									"Damage:"
		
		
		"DOTA_Tooltip_ability_item_spin_bow"									"Iron I"

		"DOTA_Tooltip_ability_item_spin_bow_Description"        				"Buy 2x to collapse to one slot 
\n Level 1 Iron \n LONG RANGE, DOES NOT HIT TOWERS \n Range: 1100 \n  DPS: 26 \nWhen doubled, explodes on impact fireing smaller attacks at up to 1 nearby enemy unit within 600 range for 5 damage."
		
		"DOTA_Tooltip_ability_item_spin_bow_doubled"							"Double Iron I"

		"DOTA_Tooltip_ability_item_spin_bow_doubled_Description"					"\n Level 1 Iron Combo \n LONG RANGE, DOES NOT HIT TOWERS \n  Range: 1100 \n  DPS: 52 \nDoubled: explodes on impact fireing smaller attacks at up to 1 nearby enemy unit within 600 range for 5 damage."
		
		"DOTA_Tooltip_ability_item_spin_two_bow"								"Iron II"

		"DOTA_Tooltip_ability_item_spin_two_bow_Description"        				"Buy 2x to collapse to one slot 
\n Level 2 Iron \n LONG RANGE, DOES NOT HIT TOWERS \n Range: 1100 \n  DPS: 52 \nWhen doubled, explodes on impact fireing smaller attacks at up to 2 nearby enemy units within 600 range for 7 damage."
		
		"DOTA_Tooltip_ability_item_spin_two_bow_doubled"						"Double Iron II"

		"DOTA_Tooltip_ability_item_spin_two_bow_doubled_Description"				"\n Level 2 Iron Combo \n LONG RANGE, DOES NOT HIT TOWERS  \n  Range: 1100 \n  DPS: 104 \nDoubled: explodes on impact fireing smaller attacks at up to 2 nearby enemy units within 600 range for 7 damage."
		
		"DOTA_Tooltip_ability_item_spin_three_bow"							"Iron III"

		"DOTA_Tooltip_ability_item_spin_three_bow_Description"        				"Buy 2x to collapse to one slot 
\n Level 3 Iron \n LONG RANGE, DOES NOT HIT TOWERS \n Range: 1100 \n  DPS: 104 \nWhen doubled, explodes on impact fireing smaller attacks at up to 3 nearby enemy units within 600 range for 11 damage."
		
		"DOTA_Tooltip_ability_item_spin_three_bow_doubled"					"Double Iron III"

		"DOTA_Tooltip_ability_item_spin_three_bow_doubled_Description"			"\n Level 3 Iron Combo \n LONG RANGE, DOES NOT HIT TOWERS  \n  Range: 1100 \n  DPS: 208 \nDoubled, explodes on impact fireing smaller attacks at up to 3 nearby enemy units within 600 range for 11 damage."
		
		"DOTA_Tooltip_ability_item_spin_ult_bow"								"Cluster shuriken"

		"DOTA_Tooltip_ability_item_spin_ult_bow_Description"        				" 
\n Ultimate Iron \n LONG RANGE, DOES NOT HIT TOWERS \n Range: 1100 \n  DPS: 220 \n Bonus: Explodes on impact fireing smaller attacks at up to 4 nearby enemy units within 600 range for 80 damage each."

		"DOTA_Tooltip_ability_item_spin_ult_bow_rec"							"Cluster shuriken"

		"DOTA_Tooltip_ability_item_spin_ult_bow_rec_Description"					"\n Ultimate Iron \n Range: 1100 \n  DPS: 220 \n Bonus: Reduces target's movement speed by 15 percent for 2 seconds"
		
				"DOTA_Tooltip_ability_item_spin_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_spin_bow_dmg"									"Damage:"
		"DOTA_Tooltip_ability_item_spin_bow_doubled_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_spin_bow_doubled_dmg"									"Damage(x2):"
		"DOTA_Tooltip_ability_item_spin_two_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_spin_two_bow_dmg"									"Damage:"
		"DOTA_Tooltip_ability_item_spin_two_bow_doubled_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_spin_two_bow_doubled_dmg"									"Damage(x2):"
		"DOTA_Tooltip_ability_item_spin_three_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_spin_three_bow_dmg"									"Damage:"
		"DOTA_Tooltip_ability_item_spin_three_bow_doubled_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_spin_three_bow_doubled_dmg"									"Damage(x2):"
		"DOTA_Tooltip_ability_item_spin_ult_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_spin_ult_bow_dmg"									"Damage/4:"
		"DOTA_Tooltip_ability_item_spin_ult_bow_rec_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_spin_ult_bow_rec_dmg"									"Damage:"
		
		
		
		
		
		"DOTA_Tooltip_ability_item_ice_bow"									"Ice I"

		"DOTA_Tooltip_ability_item_ice_bow_Description"        				"Buy 2x to collapse to one slot 
\n Level 1 Ice \n LONG RANGE, DOES NOT HIT TOWERS \n Range: 1200 \n  DPS: 23 \nWhen doubled, Reduces target's movement speed by 1 percent for 1 seconds"
		
		"DOTA_Tooltip_ability_item_ice_bow_doubled"							"Double Ice I"

		"DOTA_Tooltip_ability_item_ice_bow_doubled_Description"					"\n Level 1 Ice Combo \n LONG RANGE, DOES NOT HIT TOWERS \n  Range: 1200 \n  DPS: 46 \nDoubled: Reduces target's movement speed by 1 percent for 1 seconds"
		
		"DOTA_Tooltip_ability_item_ice_two_bow"								"Ice II"

		"DOTA_Tooltip_ability_item_ice_two_bow_Description"        				"Buy 2x to collapse to one slot 
\n Level 2 Ice \n LONG RANGE, DOES NOT HIT TOWERS \n Range: 1200 \n  DPS: 47 \nWhen doubled, Reduces target's movement speed by 1.5 percent for 2 seconds"
		
		"DOTA_Tooltip_ability_item_ice_two_bow_doubled"						"Double Ice II"

		"DOTA_Tooltip_ability_item_ice_two_bow_doubled_Description"				"\n Level 2 Ice Combo \n LONG RANGE, DOES NOT HIT TOWERS \n  Range: 1200 \n  DPS: 95 \nDoubled: Reduces target's movement speed by 1.5 percent for 2 seconds"
		
		"DOTA_Tooltip_ability_item_ice_three_bow"							"Ice III"

		"DOTA_Tooltip_ability_item_ice_three_bow_Description"        				"Buy 2x to collapse to one slot 
\n Level 3 Ice \n LONG RANGE, DOES NOT HIT TOWERS \n Range: 1200 \n  DPS: 96 \nWhen doubled, Reduces target's movement speed by 2 percent for 2 seconds"
		
		"DOTA_Tooltip_ability_item_ice_three_bow_doubled"					"Double Ice III"

		"DOTA_Tooltip_ability_item_ice_three_bow_doubled_Description"			"\n Level 3 Ice Combo \n LONG RANGE, DOES NOT HIT TOWERS \n Range: 1200 \n  DPS: 192 \nDoubled: Reduces target's movement speed by 2 percent for 2 seconds"
		
		"DOTA_Tooltip_ability_item_ice_ult_bow"								"Blizzard"

		"DOTA_Tooltip_ability_item_ice_ult_bow_Description"        				" 
\n Ultimate Ice \n LONG RANGE, DOES NOT HIT TOWERS \n Range: 1200 \n  DPS: 390 \n Bonus: Reduces target's movement speed by 12 percent for 2 seconds"

		"DOTA_Tooltip_ability_item_ice_ult_bow_rec"							"Blizzard"

		"DOTA_Tooltip_ability_item_ice_ult_bow_rec_Description"					"\n Ultimate Ice \n Range: 1200 \n  DPS: 390 \n Bonus: Reduces target's movement speed by 15 percent for 2 seconds"
		
				"DOTA_Tooltip_ability_item_ice_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_ice_bow_dmg"									"Damage:"
		"DOTA_Tooltip_ability_item_ice_bow_doubled_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_ice_bow_doubled_dmg"									"Damage(x2):"
		"DOTA_Tooltip_ability_item_ice_two_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_ice_two_bow_dmg"									"Damage:"
		"DOTA_Tooltip_ability_item_ice_two_bow_doubled_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_ice_two_bow_doubled_dmg"									"Damage(x2):"
		"DOTA_Tooltip_ability_item_ice_three_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_ice_three_bow_dmg"									"Damage:"
		"DOTA_Tooltip_ability_item_ice_three_bow_doubled_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_ice_three_bow_doubled_dmg"									"Damage(x2):"
		"DOTA_Tooltip_ability_item_ice_ult_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_ice_ult_bow_dmg"									"Damage/4:"
		"DOTA_Tooltip_ability_item_ice_ult_bow_rec_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_ice_ult_bow_rec_dmg"									"Damage:"
		
		
		
			"DOTA_Tooltip_ability_item_breach_bow"									"Hull Breaching Mines I"

		"DOTA_Tooltip_ability_item_breach_bow_Description"        				"Buy 2x to collapse to one slot 
\n Level 1 breach \n DAMAGE IS DELAYED \n DOES NOT HIT TOWERS \n Range: 1200 \n  DPS: 26 \nWhen doubled, 20% of dmg dealt becomes pure"
		
		"DOTA_Tooltip_ability_item_breach_bow_doubled"							"Double Hull Breaching Mines I"

		"DOTA_Tooltip_ability_item_breach_bow_doubled_Description"					"\n Level 1 breach Combo\n DAMAGE IS DELAYED \n DOES NOT HIT TOWERS \n  Range: 1200 \n  DPS: 52 \nDoubled: 20% of dmg dealt becomes pure"
		
		"DOTA_Tooltip_ability_item_breach_two_bow"								"Hull Breaching Mines II"

		"DOTA_Tooltip_ability_item_breach_two_bow_Description"        				"Buy 2x to collapse to one slot 
\n Level 2 breach\n DAMAGE IS DELAYED \n DOES NOT HIT TOWERS \n Range: 1200 \n  DPS: 52 \n When doubled 20% of dmg dealt becomes pure"
		
		"DOTA_Tooltip_ability_item_breach_two_bow_doubled"						"Double Hull Breaching Mines II"

		"DOTA_Tooltip_ability_item_breach_two_bow_doubled_Description"				"\n Level 2 breach Combo\n DAMAGE IS DELAYED \n DOES NOT HIT TOWERS \n  Range: 1200 \n  DPS: 104 \nDoubled: 20% of dmg dealt becomes pure"
		
		"DOTA_Tooltip_ability_item_breach_three_bow"							"Hull Breaching Mines III"

		"DOTA_Tooltip_ability_item_breach_three_bow_Description"        				"Buy 2x to collapse to one slot 
\n Level 3 breach\n DAMAGE IS DELAYED \n DOES NOT HIT TOWERS \n Range: 1200 \n  DPS: 115 \nWhen doubled, 20% of dmg dealt becomes pure"
		
		"DOTA_Tooltip_ability_item_breach_three_bow_doubled"					"Double Hull Breaching Mines III"

		"DOTA_Tooltip_ability_item_breach_three_bow_doubled_Description"			"\n Level 3 breach Combo\n DAMAGE IS DELAYED \n DOES NOT HIT TOWERS \n Range: 1200 \n  DPS: 230 \nDoubled: 20% of dmg dealt becomes pure"
		
		"DOTA_Tooltip_ability_item_breach_ult_bow"								"Missle of Impending Doom"

		"DOTA_Tooltip_ability_item_breach_ult_bow_Description"        				" 
\n Ultimate breach \n  DOES NOT HIT TOWERS \n Range: 1200 \n  DPS: 400 \n Bonus: 20% of dmg dealt becomes pure"

		"DOTA_Tooltip_ability_item_breach_ult_bow_rec"							"Missle of Impending Doom"

		"DOTA_Tooltip_ability_item_breach_ult_bow_rec_Description"					"\n Ultimate breach \n Range: 1200 \n  DPS: 400 \n Bonus: 20% of dmg dealt becomes pure"
		
				"DOTA_Tooltip_ability_item_breach_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_breach_bow_dmg"									"Damage:"
		"DOTA_Tooltip_ability_item_breach_bow_delay"									"Damage Delay:"
		"DOTA_Tooltip_ability_item_breach_bow_doubled_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_breach_bow_doubled_dmg"									"Damage(x2):"
		
		
		"DOTA_Tooltip_ability_item_breach_two_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_breach_two_bow_dmg"									"Damage:"
		"DOTA_Tooltip_ability_item_breach_two_bow_delay"									"Damage Delay:"
		"DOTA_Tooltip_ability_item_breach_two_bow_doubled_delay"									"Damage Delay:"
		"DOTA_Tooltip_ability_item_breach_two_bow_doubled_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_breach_two_bow_doubled_dmg"									"Damage(x2):"
		"DOTA_Tooltip_ability_item_breach_three_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_breach_three_bow_dmg"									"Damage:"
		"DOTA_Tooltip_ability_item_breach_three_bow_delay"									"Damage Delay:"
		"DOTA_Tooltip_ability_item_breach_three_bow_doubled_delay"									"Damage Delay:"
		
		"DOTA_Tooltip_ability_item_breach_three_bow_doubled_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_breach_three_bow_doubled_dmg"									"Damage(x2):"
		"DOTA_Tooltip_ability_item_breach_ult_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_breach_ult_bow_dmg"									"Damage/4:"
		"DOTA_Tooltip_ability_item_breach_ult_bow_rec_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_breach_ult_bow_rec_dmg"									"Damage:"
			"DOTA_Tooltip_ability_item_breach_ult_bow_delay"									"Damage Delay:"
		
		
		
		"DOTA_Tooltip_ability_item_caulk_bow"									"caulk I"

		"DOTA_Tooltip_ability_item_caulk_bow_Description"        				"Buy 2x to collapse to one slot 
\n Level 1 caulk \n DOES NOT HIT ENEMIES \n DOES NOT HIT TOWERS \n Range: 650 \n  Heal Per Second: 20 \nWhen doubled, deals 10% of heal amount to enemies within 300 of the target"
		
		"DOTA_Tooltip_ability_item_caulk_bow_doubled"							"Double caulk I"

		"DOTA_Tooltip_ability_item_caulk_bow_doubled_Description"					"\n Level 1 caulk Combo\n DOES NOT HIT ENEMIES \n DOES NOT HIT TOWERS \n  Range: 650 \n  Heal Per Second: 40 \nDoubled: Deals 10% of heal amount to enemies within 300 of the target"
		
		"DOTA_Tooltip_ability_item_caulk_two_bow"								"caulk II"

		"DOTA_Tooltip_ability_item_caulk_two_bow_Description"        				"Buy 2x to collapse to one slot 
\n Level 2 caulk\n DOES NOT HIT ENEMIES \n DOES NOT HIT TOWERS \n Range: 650 \n  Heal Per Second: 43 \nWhen doubled, deals 10% of heal amount to enemies within 300 of the target"
		
		"DOTA_Tooltip_ability_item_caulk_two_bow_doubled"						"Double caulk II"

		"DOTA_Tooltip_ability_item_caulk_two_bow_doubled_Description"				"\n Level 2 caulk Combo\n DOES NOT HIT ENEMIES \n DOES NOT HIT TOWERS \n  Range: 650 \n  Heal Per Second: 86 \nDoubled: Deals 10% of heal amount to enemies within 300 of the target"
		
		"DOTA_Tooltip_ability_item_caulk_three_bow"							"caulk III"

		"DOTA_Tooltip_ability_item_caulk_three_bow_Description"        				"Buy 2x to collapse to one slot 
\n Level 3 caulk\n DOES NOT HIT ENEMIES \n DOES NOT HIT TOWERS \n Range: 650 \n  Heal Per Second: 86 \nWhen doubled, deals 10% of heal amount to enemies within 300 of the target"
		
		"DOTA_Tooltip_ability_item_caulk_three_bow_doubled"					"Double caulk III"

		"DOTA_Tooltip_ability_item_caulk_three_bow_doubled_Description"			"\n Level 3 caulk Combo\n DOES NOT HIT ENEMIES \n DOES NOT HIT TOWERS \n Range: 650 \n  Heal Per Second: 173 \nDoubled: Deals 10% of heal amount to enemies within 300 of the target"
		
		"DOTA_Tooltip_ability_item_caulk_ult_bow"								"caulking gun"

		"DOTA_Tooltip_ability_item_caulk_ult_bow_Description"        				" 
\n Ultimate caulk\n DOES NOT HIT ENEMIES \n  DOES NOT HIT TOWERS \n Range: 650 \n  Heal Per Second: 345 \n Bonus: Deals 10% of heal amount to enemies within 300 of the target"

		"DOTA_Tooltip_ability_item_caulk_ult_bow_rec"							"caulking gun"

		"DOTA_Tooltip_ability_item_caulk_ult_bow_rec_Description"					"\n Ultimate caulk \n Range: 650 \n  Heal Per Second: 390 \n Bonus: Deals 10% of heal amount to enemies within 300 of the target"
		
				"DOTA_Tooltip_ability_item_caulk_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_caulk_bow_dmg"									"Damage:"
		"DOTA_Tooltip_ability_item_caulk_bow_doubled_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_caulk_bow_doubled_dmg"									"heal(x2):"
		"DOTA_Tooltip_ability_item_caulk_two_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_caulk_two_bow_dmg"									"heal:"
		"DOTA_Tooltip_ability_item_caulk_two_bow_doubled_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_caulk_two_bow_doubled_dmg"									"heal(x2):"
		"DOTA_Tooltip_ability_item_caulk_three_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_caulk_three_bow_dmg"									"heal:"
		"DOTA_Tooltip_ability_item_caulk_three_bow_doubled_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_caulk_three_bow_doubled_dmg"									"heal(x2):"
		"DOTA_Tooltip_ability_item_caulk_ult_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_caulk_ult_bow_dmg"									"heal/4:"
		"DOTA_Tooltip_ability_item_caulk_ult_bow_rec_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_caulk_ult_bow_rec_dmg"									"heal:"
		
			
		
		
		
	"DOTA_Tooltip_ability_item_wind_bow"								"Wind I"

		"DOTA_Tooltip_ability_item_wind_bow_Description"        				"Buy 2x to collapse to one slot 
\n Level 1 Wind \n LONG RANGE, DOES NOT HIT TOWERS \n Minimum Effective Range: 600 (does 50 percent dmg below this range)\n Maximum effective Range 1600 \n Range: 1400 \n  DPS: 20 \nWhen doubled, gains up to 16 bonus damage depending on targets missing health (weaker tarkets take more damage)"
		
		"DOTA_Tooltip_ability_item_wind_bow_doubled"						"Double Wind I"

		"DOTA_Tooltip_ability_item_wind_bow_doubled_Description"				"\n Level 1 Wind Combo \n LONG RANGE, DOES NOT HIT TOWERS \n Minimum Effective Range: 600 (does 50 percent dmg below this range)\n Maximum effective Range 1600 \n  Range: 1400 \n  DPS: 40 \ndoubled: gains up to 16 bonus damage depending on targets missing health (weaker tarkets take more damage)"
		
		"DOTA_Tooltip_ability_item_wind_two_bow"							"Wind II"

		"DOTA_Tooltip_ability_item_wind_two_bow_Description"        				"Buy 2x to collapse to one slot 
\n Level 2 Wind \n LONG RANGE, DOES NOT HIT TOWERS \n Minimum Effective Range: 600 (does 50 percent dmg below this range)\n Maximum effective Range 1600 \n  Range: 1400 \n  DPS: 40 \nWhen doubled, gains up to 40 bonus damage depending on targets missing health (weaker tarkets take more damage)"
		
		"DOTA_Tooltip_ability_item_wind_two_bow_doubled"					"Double Wind II"

		"DOTA_Tooltip_ability_item_wind_two_bow_doubled_Description"			"\n Level 2 Wind Combo \n LONG RANGE, DOES NOT HIT TOWERS \n Minimum Effective Range: 600 (does 50 percent dmg below this range)\n Maximum effective Range 1600 \n Range: 1400 \n  DPS: 80 \ndoubled: gains up to 40 bonus damage depending on targets missing health (weaker tarkets take more damage)"
		
		"DOTA_Tooltip_ability_item_wind_three_bow"							"Wind III"

		"DOTA_Tooltip_ability_item_wind_three_bow_Description"        				"Buy 2x to collapse to one slot 
\n Level 3 Wind \n LONG RANGE, DOES NOT HIT TOWERS \n Minimum Effective Range: 600 (does 50 percent dmg below this range)\n Maximum effective Range 1600 \n Range: 1400 \n  DPS: 59 \nWhen doubled, gains up to 59 bonus damage depending on targets missing health (weaker tarkets take more damage)"
		
		"DOTA_Tooltip_ability_item_wind_three_bow_doubled"					"Double Wind III"

		"DOTA_Tooltip_ability_item_wind_three_bow_doubled_Description"			"\n Level 3 Wind Combo \n LONG RANGE, DOES NOT HIT TOWERS \n Minimum Effective Range: 600 (does 50 percent dmg below this range)\n Maximum effective Range 1600 \n Range: 1400 \n  DPS: 118 \n\doubled: gains up to 59 bonus damage depending on targets missing health (weaker tarkets take more damage)"
		
		"DOTA_Tooltip_ability_item_wind_ult_bow"							"Tornado"

		"DOTA_Tooltip_ability_item_wind_ult_bow_Description"        				" 
\n Ultimate Wind \n LONG RANGE, DOES NOT HIT TOWERS \n   \n  Range: 1400 \n  DPS: 236 \n Bonus: gains up to 330 bonus damage depending on targets missing health (weaker tarkets take more damage)"

		"DOTA_Tooltip_ability_item_wind_ult_bow_rec"						"Tornado"

		"DOTA_Tooltip_ability_item_wind_ult_bow_rec_Description"				"\n Ultimate Wind \n LONG RANGE, DOES NOT HIT TOWERS \n   \n  Range: 1400 \n  DPS: 236 \n Bonus: gains up to 330 bonus damage depending on targets missing health (weaker tarkets take more damage)"
		
				"DOTA_Tooltip_ability_item_wind_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_wind_bow_dmg"									"Damage:"
		"DOTA_Tooltip_ability_item_wind_bow_doubled_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_wind_bow_doubled_dmg"									"Damage(x2):"
		"DOTA_Tooltip_ability_item_wind_two_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_wind_two_bow_dmg"									"Damage:"
		"DOTA_Tooltip_ability_item_wind_two_bow_doubled_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_wind_two_bow_doubled_dmg"									"Damage(x2):"
		"DOTA_Tooltip_ability_item_wind_three_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_wind_three_bow_dmg"									"Damage:"
		"DOTA_Tooltip_ability_item_wind_three_bow_doubled_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_wind_three_bow_doubled_dmg"									"Damage(x2):"
		"DOTA_Tooltip_ability_item_wind_ult_bow_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_wind_ult_bow_dmg"									"Damage/4:"
		"DOTA_Tooltip_ability_item_wind_ult_bow_rec_fire_rate"							"Reload Delay(S):"
		"DOTA_Tooltip_ability_item_wind_ult_bow_rec_dmg"									"Damage:"
		
		
		
		"DOTA_Tooltip_ability_item_light_bow"								"Light I"

		"DOTA_Tooltip_ability_item_light_bow_Description"        				"Buy 2x to collapse to one slot 
\n Level 1 Light \n Range: 1000 \n  DPS: 27 \nWhen doubled, projectile grants vision of 200"
		
		"DOTA_Tooltip_ability_item_light_bow_doubled"						"Double Light I"

		"DOTA_Tooltip_ability_item_light_bow_doubled_Description"				"\n Level 1 Light Combo \n  Range: 1000 \n  DPS: 54 \ndoubled: projectile grants vision of 200"
		
		"DOTA_Tooltip_ability_item_light_two_bow"							"Light II"

		"DOTA_Tooltip_ability_item_light_two_bow_Description"        				"Buy 2x to collapse to one slot 
\n Level 2 Light \n Range: 1000 \n  DPS: 55 \nWhen doubled, projectile grants vision of 400"
		
		"DOTA_Tooltip_ability_item_light_two_bow_doubled"					"Double Light II"

